"證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額"
"6438","迅得","","6,000","439,600","442,000"
"6462","神盾","","1,050,000","153,163,500","153,896,500"
"6465","威潤","","1,000","61,600","61,800"
"6469","大樹","","1,000","90,300","91,000"
"6470","宇智","","0","0","0"
"6485","點序","","24,000","1,300,100","1,301,500"
"6486","互動","","12,000","563,100","568,250"
"6488","環球晶","","744,000","363,913,000","364,455,000"
"6496","科懋","","6,000","443,800","444,200"
"6506","雙邦","","0","0","0"
"6508","惠光","","0","0","0"
"6509","聚和","","2,000","36,600","36,800"
"6510","精測","","67,000","51,340,000","51,382,000"
"6523","達爾膚","","248,000","37,337,500","37,427,500"
"6532","瑞耘","","16,000","544,100","545,250"
"6538","倉和","","0","0","0"
"6542","隆中","","0","0","0"
"6548","長華科","","1,000","368,000","367,500"
"6554","中美冠科-KY","","1,000","74,300","74,300"
"6568","宏觀","","2,000","285,000","287,500"
"6569","醫揚","","2,000","335,000","338,500"
"6577","勁豐","","5,000","328,400","328,000"
"6603","富強鑫","","44,000","703,300","703,550"
"6609","瀧澤科","","42,000","1,398,450","1,403,550"
"6613","朋億","","32,000","6,480,500","6,494,500"
"6803","崑鼎","","0","0","0"
"8024","佑華","","67,000","747,000","742,700"
"8027","鈦昇","","80,000","3,209,750","3,227,350"
"8032","光菱","","17,000","420,750","425,450"
"8042","金山電","","64,000","3,888,600","3,879,000"
"8043","蜜望實","","212,000","6,734,200","6,729,900"
"8044","網家","","39,000","5,493,000","5,502,500"
"8047","星雲","","0","0","0"
"8048","德勝","","3,000","89,300","90,100"
"8049","晶采","","5,000","86,900","87,500"
"8050","廣積","","26,000","1,167,550","1,173,900"
"8054","安國","","5,000","90,500","91,000"
"8064","東捷","","15,000","210,450","211,450"
"8066","來思達","","2,000","217,000","218,000"
"8069","元太","","1,989,000","65,735,400","66,074,300"
"8071","能率網通","","0","0","0"
"8074","鉅橡","","1,000","26,050","26,200"
"8076","伍豐","","116,000","4,884,800","4,898,250"
