代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"3483","力致","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","13,000","-13,000","0","0","0","0","13,000","-13,000","-14,000"
"3484","崧騰","1,000","52,000","-51,000","0","0","0","1,000","52,000","-51,000","0","0","0","0","0","0","0","0","0","0","0","0","-51,000"
"3489","森寶","0","16,000","-16,000","0","0","0","0","16,000","-16,000","0","0","0","0","0","0","0","0","0","0","0","0","-16,000"
"3490","單井","3,000","0","3,000","0","0","0","3,000","0","3,000","0","0","0","0","0","0","0","0","0","0","0","0","3,000"
"3491","昇達科","28,000","137,000","-109,000","0","0","0","28,000","137,000","-109,000","96,000","0","96,000","0","10,309","-10,309","0","39,000","-39,000","0","49,309","-49,309","-62,309"
"3492","長盛","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","0","0","0","0","0","0","-1,000"
"3498","陽程","5,000","3,000","2,000","0","0","0","5,000","3,000","2,000","0","0","0","5,000","5,000","0","36,000","16,000","20,000","41,000","21,000","20,000","22,000"
"3508","位速","163,000","71,000","92,000","0","0","0","163,000","71,000","92,000","0","0","0","2,000","0","2,000","27,000","0","27,000","29,000","0","29,000","121,000"
"3511","矽瑪","0","57,000","-57,000","0","0","0","0","57,000","-57,000","0","0","0","3,000","3,000","0","0","0","0","3,000","3,000","0","-57,000"
"3512","能緹","0","10,000","-10,000","0","0","0","0","10,000","-10,000","0","0","0","0","0","0","0","0","0","0","0","0","-10,000"
"3520","振維","2,000","0","2,000","0","0","0","2,000","0","2,000","0","0","0","2,000","1,000","1,000","0","0","0","2,000","1,000","1,000","3,000"
"3521","鴻翊","0","10,000","-10,000","0","0","0","0","10,000","-10,000","0","0","0","6,000","6,000","0","0","0","0","6,000","6,000","0","-10,000"
"3522","宏森","6,000","0","6,000","0","0","0","6,000","0","6,000","0","0","0","0","0","0","0","0","0","0","0","0","6,000"
"3526","凡甲","11,000","49,000","-38,000","0","0","0","11,000","49,000","-38,000","0","0","0","0","15,000","-15,000","12,000","16,000","-4,000","12,000","31,000","-19,000","-57,000"
"3527","聚積","0","62,000","-62,000","0","0","0","0","62,000","-62,000","0","0","0","2,000","0","2,000","0","0","0","2,000","0","2,000","-60,000"
"3529","力旺","17,000","85,000","-68,000","0","0","0","17,000","85,000","-68,000","17,000","0","17,000","0","0","0","1,000","1,000","0","1,000","1,000","0","-51,000"
"3531","先益","0","0","0","0","0","0","0","0","0","0","0","0","1,000","1,000","0","0","0","0","1,000","1,000","0","0"
"3537","堡達","54,000","57,000","-3,000","0","0","0","54,000","57,000","-3,000","0","0","0","0","30,000","-30,000","0","0","0","0","30,000","-30,000","-33,000"
"3540","曜越","47,000","8,000","39,000","0","0","0","47,000","8,000","39,000","0","0","0","1,000","0","1,000","0","0","0","1,000","0","1,000","40,000"
"3541","西柏","9,000","4,000","5,000","0","0","0","9,000","4,000","5,000","0","0","0","0","3,000","-3,000","0","0","0","0","3,000","-3,000","2,000"
"3546","宇峻","76,000","0","76,000","0","0","0","76,000","0","76,000","0","0","0","2,000","0","2,000","56,000","23,000","33,000","58,000","23,000","35,000","111,000"
"3548","兆利","0","3,000","-3,000","0","0","0","0","3,000","-3,000","0","0","0","0","0","0","0","0","0","0","0","0","-3,000"
"3551","世禾","8,000","0","8,000","0","0","0","8,000","0","8,000","0","0","0","0","0","0","0","0","0","0","0","0","8,000"
"3552","同致","114,000","172,000","-58,000","0","0","0","114,000","172,000","-58,000","0","0","0","0","2,000","-2,000","3,000","12,000","-9,000","3,000","14,000","-11,000","-69,000"
"3556","禾瑞亞","9,000","5,000","4,000","0","0","0","9,000","5,000","4,000","0","0","0","0","0","0","0","0","0","0","0","0","4,000"
"3558","神準","28,000","22,000","6,000","0","0","0","28,000","22,000","6,000","0","0","0","0","0","0","0","0","0","0","0","0","6,000"
"3562","頂晶科","0","0","0","0","0","0","0","0","0","0","0","0","0","1,000","-1,000","0","0","0","0","1,000","-1,000","-1,000"
"3563","牧德","68,000","138,000","-70,000","0","0","0","68,000","138,000","-70,000","51,000","0","51,000","32,000","8,000","24,000","153,000","22,000","131,000","185,000","30,000","155,000","136,000"
"3567","逸昌","1,000","17,000","-16,000","0","0","0","1,000","17,000","-16,000","0","0","0","0","0","0","0","0","0","0","0","0","-16,000"
"3577","泓格","0","0","0","0","0","0","0","0","0","0","0","0","0","1,000","-1,000","0","0","0","0","1,000","-1,000","-1,000"
"3580","友威科","3,000","1,000","2,000","0","0","0","3,000","1,000","2,000","0","0","0","0","1,000","-1,000","0","0","0","0","1,000","-1,000","1,000"
"3581","博磊","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","0","0","0","0","0","0","-1,000"
"3587","閎康","10,000","4,000","6,000","0","0","0","10,000","4,000","6,000","0","0","0","0","0","0","0","2,000","-2,000","0","2,000","-2,000","4,000"
"3594","磐儀","0","0","0","0","0","0","0","0","0","0","0","0","0","3,000","-3,000","0","0","0","0","3,000","-3,000","-3,000"
