代號,名稱,前資餘額(張),資買,資賣,現償,資餘額,資屬證金,資使用率(%),資限額,前券餘額(張),券賣,券買,券償,券餘額,券屬證金,券使用率(%),券限額,資券相抵(張),備註
"1580","新麥","97","1","1","0","97","3","0.79","12,132","0","0","0","0","0","0","0.0","12,132","0",""
"1584","精剛","3,799","7","0","11","3,795","133","18.4","20,617","0","0","0","0","0","0","0.0","20,617","0",""
"1586","和勤","16,462","74","1","0","16,535","1,990","87.33","18,932","214","9","8","0","215","5","1.13","18,932","0","@"
"1591","駿吉-KY","2,744","20","19","0","2,745","662","33.1","8,291","0","0","0","0","0","0","0.0","8,291","0",""
"1593","祺驊","2,495","10","21","0","2,484","31","31.1","7,987","0","0","0","0","0","0","0.0","7,987","0",""
"1595","川寶","1,778","6","20","0","1,764","4","14.96","11,787","0","0","0","0","0","0","0.0","11,787","0",""
"1597","直得","2,951","327","222","0","3,056","80","20.7","14,761","882","159","193","0","848","12","5.74","14,761","27","11C"
"1599","宏佳騰","446","2","0","0","448","46","2.89","15,500","0","0","0","0","0","0","0.0","15,500","0",""
"1742","台蠟","3,019","581","606","0","2,994","109","28.88","10,365","63","80","2","1","140","3","1.35","10,365","14",""
"1752","南光","3,382","15","47","0","3,350","115","13.26","25,247","15","0","0","0","15","0","0.05","25,247","0",""
"1777","生泰","1,620","0","8","0","1,612","16","21.45","7,514","0","0","0","0","0","0","0.0","7,514","0",""
"1781","合世","279","0","3","0","276","20","0.0","0","0","0","0","0","0","0","0.0","0","0","OX"
"1784","訊聯","2,060","7","18","1","2,048","88","16.48","12,422","1","1","0","0","2","0","0.01","12,422","0",""
"1785","光洋科","15,965","366","388","0","15,943","561","17.83","89,375","448","56","79","0","425","9","0.47","89,375","28",""
"1787","福盈科","6,022","13","14","0","6,021","256","35.47","16,972","0","0","0","0","0","0","0.0","16,972","0",""
"1788","杏昌","263","18","17","0","264","100","3.01","8,750","0","0","0","0","0","0","0.0","8,750","0",""
"1795","美時","9,454","1,278","983","0","9,749","319","44.62","21,847","992","245","196","3","1,038","34","4.75","21,847","66",""
"1799","易威","962","0","0","0","962","235","0.0","0","0","0","0","0","0","0","0.0","0","0","OX"
"1813","寶利徠","254","0","2","0","252","34","2.16","11,658","0","0","0","0","0","0","0.0","11,658","0",""
"1815","富喬","37,822","1,304","640","1","38,485","785","35.48","108,446","330","102","55","0","377","6","0.34","108,446","32",""
"2035","唐榮","7","0","0","0","7","0","0.0","87,500","0","0","0","0","0","0","0.0","87,500","0","11C"
"2063","世鎧","2,811","5","9","0","2,807","4","24.95","11,250","0","0","0","0","0","0","0.0","11,250","0",""
"2064","晉椿","75","0","0","0","75","25","0.42","17,500","0","0","0","0","0","0","0.0","17,500","0",""
"2065","世豐","19","0","0","0","19","7","0.23","8,169","0","0","0","0","0","0","0.0","8,169","0","11C"
